LakeID,Hylak_id,short_name,Name,Country,Lat_centre,Lon_centre,Sea_mask,Lake_area,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Z_max,TR,Phase,Cover_1995_2020,annual_ave_95_10
364,1058,GLWD00000364, Kureyka river,Russian Federation,67.0208,88.6931,0,500.23,9900,19.8,1127.613,101.6,76,59.37268856,NF,Frigid,0.21,9.447842495391278
365,395,GLWD00000365, Snowbird lake,Canada,60.6681,-102.9736,0,483.5,6864.29,14.2,15.372,5168.3,353,42.59125129,NC,Cool,0.199,9.486442699826892
366,746,GLWD00000366, Mille Lacs lake,United States,46.2681,-93.6625,0,516.15,4022.71,7.8,9.119,5105.7,377,23.381052019761697,NT,Temperate,0.25,14.54196583471226
367,386,GLWD00000367, Trout lake,Canada,60.5097,-121.2764,0,498.87,16050.44,32.2,13.329,13937.2,481,96.52077696,NC,Cool,0.255,12.420763484870884
368,661,GLWD00000368, lac Manouane,Canada,50.7792,-70.9847,0,471.19,2220.3,4.7,97.555,263.4,490,14.13633566077379,NC,Cool,0.175,12.472645547965652
369,1135,GLWD00000369, Zzzz,Finland,61.5792,23.7403,0,303.61,9010.25,29.7,69.351,1503.7,90,89.03115839399231,NC,Cool,0.307,12.76938909627516
371,265,GLWD00000371, Tehek lake,Canada,64.9458,-95.5847,0,450.06,9250.45,20.6,9.765,10964.2,106,61.66144514064791,NF,Frigid,0.159,6.413185356929124
372,1499,GLWD00000372, Kaptai lake,Bangladesh,22.5958,92.2042,0,326.94,6477,19.8,694.823,107.9,31,59.432923472196734,TH,Hot,0.237,25.566478503047364
373,303,GLWD00000373, Tebesjuak lake,Canada,63.7458,-98.8681,0,499.53,9937.57,19.9,39.752,2893.4,122,59.68152062939163,NF,Frigid,0.169,7.534515074792672
376,1049,GLWD00000376, Lokka reservoir,Finland,67.9431,27.5708,0,321.87,1460,4.5,45.639,370.3,228,13.607978376363128,NF,Frigid,0.228,11.054235690649277
379,978,GLWD00000379, Cerros Colorados Complex/embalse los Barrales and embalse Mari Menuco,Argentina,-38.5375,-68.8208,0,395.81,2780,7,1.104,29144.9,414,21.070715747454592,SW,Warm,0.545,14.78526535862907
382,1439,GLWD00000382, Qyaring lake,China,31.0681,88.4319,0,477,15334.39,32.1,20.296,8744.6,4649,96.44270440251572,NF,Frigid,0.456,7.119965646319938
383,1445,GLWD00000383, Taro lake,China,31.1431,84.0181,0,473.71,16152,34.1,1.535,121787.9,4567,102.29043085432016,NF,Frigid,0.551,6.356277437047195
386,1540,GLWD00000386, lake Manantali,Mali,13.0403,-10.3514,0,438.38,11270,25.7,242.557,537.8,207,77.12486883525709,TH,Hot,0.219,26.85274144596513
387,1160,GLWD00000387, Hjalmaren,Sweden,59.2319,15.8681,0,474.39,8077.22,17,29.068,3216.1,24,51.079618035793345,NC,Cool,0.384,12.265975712305163
389,217,GLWD00000389, Hall lake,Canada,68.6458,-82.3514,0,466.31,2217.05,4.8,39.048,657.1,7,14.263365572258802,NF,Frigid,0.182,2.7169505954209825
391,493,GLWD00000391, lac Ile-a-la-Crosse,Canada,55.5542,-107.7486,0,431.88,8185.41,19,107.834,878.6,415,56.85891914420672,NC,Cool,0.284,13.292733501061797
393,1104,GLWD00000393, Storsjon,Sweden,63.2236,14.2764,0,488.65,18725.76,38.3,228.631,948,279,114.9642484395784,NC,Cool,0.311,9.881225296
395,302,GLWD00000395, Princess Mary lake,Canada,63.9542,-97.5319,0,480.03,10161.74,21.2,87.069,1350.8,103,63.50690581838635,NF,Frigid,0.176,5.366164614679944
396,234,GLWD00000396, MacAlpine lake,Canada,66.6569,-102.8819,0,392.01,6267.52,16,8.908,8143.3,158,47.964490701767815,NF,Frigid,0.166,6.612438201278212
400,230,GLWD00000400, lac des Bois,Canada,66.8208,-125.2514,0,458.53,6526.67,14.2,6.002,12585.8,284,42.70169890737792,NF,Frigid,0.219,9.342796716
402,643,GLWD00000402, Diefenbaker lake,Canada,50.9903,-106.4681,0,391.72,9870,25.2,262.165,435.7,551,75.58970693352397,NC,Cool,0.34,13.473368411519946
404,482,GLWD00000404, Churchill lake,Canada,56.4542,-108.4875,0,426.86,6468.14,15.2,7.94,9428.6,415,45.45851098720893,NC,Cool,0.235,13.821758146350994
405,554,GLWD00000405, Montreal lake,Canada,54.3569,-105.6431,0,456.42,2857.94,6.3,16.81,1967.8,486,18.78493492835546,NC,Cool,0.254,13.58926458194508
409,536,GLWD00000409, Primrose lake,Canada,54.9236,-109.7125,0,436.35,4275.35,9.8,3.915,12639.4,595,29.393949810931595,NC,Cool,0.275,12.721965275438286
411,791,GLWD00000411, Pyramid lake,United States,40.1069,-119.5986,0,476.87,12800.44,26.8,63.332,2339.3,1165,80.52785874557007,NW,Warm,0.583,15.413110965429269
412,229,GLWD00000412, Franklin lake,Canada,66.9542,-95.3125,0,411.36,3688.43,9,595.756,71.7,9,26.899285297549593,NF,Frigid,0.179,6.758648668996385
413,297,GLWD00000413, Mallery lake,Canada,63.9625,-98.4458,0,460.6,6497.43,14.1,56.543,1330,121,42.31934433347808,NF,Frigid,0.167,7.205709229940313
417,218,GLWD00000417, Bluenose lake,Canada,68.3708,-119.7042,0,425.67,12402.7,29.1,8.425,17038.5,551,87.41067023750794,NF,Frigid,0.178,5.308865619586313
419,607,GLWD00000419, Atikonak lake and lac Aticonac,Canada,52.7097,-64.6125,0,393.17,5097.84,13,289.63,203.7,485,38.89798306076253,NC,Cool,0.146,12.008127432841702
421,617,GLWD00000421, lac Joseph and Kepimits lake,Canada,52.8292,-65.1792,0,377.75,3810.79,10.1,135.693,325,505,30.26438120450033,NC,Cool,0.155,11.09189123833134
422,97,GLWD00000422, Zzzz,Finland,62.8431,27.8181,0,1133.97,8900,7.8,185.827,554.3,69,23.54559644435038,NC,Cool,0.272,13.393278382710486
424,192,GLWD00000424, Erichsen lake,Canada,70.6681,-80.6792,0,350.65,4792.05,13.7,130.63,424.6,44,40.99857407671468,NF,Frigid,0.177,4.621405604426564
