train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,iter_seed,ps,seed
0.9942474,0.39170963,0.01995592,0.287592,0.031597365,0.98250395,0.6628371,0.034237336,0.5112675,0.051456314,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,26,100
0.9944592,0.38442865,0.019584987,0.2673063,0.02967095,0.97697246,0.7604331,0.039278436,0.57936525,0.06982385,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,26,100
0.99558926,0.34299502,0.01747412,0.23287468,0.024432145,0.980711,0.6959719,0.03594884,0.5332339,0.05837547,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,28,100
0.9948532,0.37050965,0.018875873,0.2781905,0.029476104,0.98726857,0.56542593,0.029205786,0.44221446,0.049703214,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,28,100
0.99475706,0.373954,0.019051349,0.26694652,0.028798353,0.9801139,0.7066615,0.036500987,0.58056915,0.064039804,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,28,100
0.9959642,0.32809094,0.016714823,0.22703329,0.023358526,0.9868685,0.57424134,0.029661126,0.42268085,0.043663803,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,44,28,100
0.9953451,0.35235816,0.017951133,0.24812852,0.026740395,0.979866,0.71105224,0.036727782,0.5555031,0.06093768,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,28,100
0.99520355,0.3576767,0.01822209,0.25578636,0.026202241,0.98003596,0.708046,0.0365725,0.55874294,0.053537335,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,30,100
0.99643093,0.30853835,0.015718702,0.22536154,0.023861164,0.98520184,0.60959494,0.031487234,0.4812991,0.052826058,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,30,100
0.99627465,0.31522176,0.016059194,0.23539658,0.024803497,0.9869676,0.57206976,0.029548958,0.43546924,0.047909435,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,30,100
0.996356,0.31175834,0.015882747,0.2187909,0.023537247,0.98269767,0.65915823,0.034047313,0.5217555,0.05865411,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,30,100
0.9955613,0.3440803,0.017529411,0.22846057,0.024831777,0.98065364,0.6970063,0.03600227,0.5191158,0.059650093,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,66,30,100
0.9961728,0.31949997,0.01627715,0.22057691,0.023295498,0.9787846,0.7298986,0.037701245,0.5836793,0.06314549,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,32,100
0.9954439,0.34859985,0.017759664,0.25765628,0.028036758,0.9843859,0.62617475,0.032343626,0.48228794,0.057119444,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,32,100
0.99354905,0.4148049,0.021132527,0.2839399,0.028150484,0.9800805,0.7072555,0.03653167,0.5481997,0.05604648,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,32,100
0.9947416,0.37450528,0.019079434,0.26896963,0.02859585,0.9722116,0.8353507,0.043148134,0.65289456,0.06697231,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,32,100
