Observed,Predicted,Error,phase
16.2,15.761969,-0.013704792252345057,train
16.3,16.226013,-0.0022746733448276955,train
15.9,16.60645,0.021732595713330385,train
16.1,16.643139,0.01658785675985119,train
16.1,16.679245,0.017671078360491952,train
16.5,16.660091,0.0048278335006572744,train
16.0,15.537116,-0.014677434313757242,train
15.5,16.420343,0.028832503069979643,train
15.6,16.694378,0.03388755492333693,train
16.1,16.92887,0.025095284073584714,train
15.5,15.848759,0.011125119845254664,train
16.1,16.665718,0.01726553616801484,train
16.9,17.022976,0.0036251626262854006,train
15.3,16.286293,0.03122534297280405,train
16.3,16.72654,0.012915079497358943,train
17.1,16.967281,-0.0038957918919401624,train
16.3,17.159737,0.025694685683451277,train
15.9,17.400438,0.045057626373072486,train
15.8,17.425034,0.04890990902630798,train
15.8,17.487053,0.050681948962590394,train
16.9,17.664812,0.02212690975943162,train
16.1,17.285816,0.03551855047563147,train
16.4,17.148483,0.022310506862018322,train
15.9,17.19068,0.03900433487812529,train
15.9,16.97599,0.03272876891909587,train
16.2,16.400288,0.0061437145227516594,train
16.2,16.174377,-0.0007914691479623116,train
16.3,16.689358,0.01180254954866823,train
16.8,16.956575,0.00463838995303864,train
16.9,17.149805,0.007336472344910661,train
16.8,16.777164,-0.0006800686930729335,train
16.9,17.035751,0.004000256967879071,train
17.2,17.223143,0.0006722762271257501,train
17.0,16.574095,-0.012685531227249318,train
16.6,16.601658,4.992178250521292e-05,train
16.4,16.870327,0.014136542233885198,train
16.5,16.9486,0.013411645292443847,train
16.2,16.747948,0.01663068432520287,train
16.3,16.973433,0.020239370207650265,train
16.2,16.783455,0.01768929666225829,train
16.2,16.992085,0.023863632968038777,train
16.9,16.8246,-0.0022357388720793256,train
16.7,16.839718,0.004165720756358223,train
16.3,16.920506,0.018678412356767298,train
16.4,17.053303,0.01952880881159394,train
16.6,16.539677,-0.001820286755452673,train
16.4,16.609001,0.006331653070690237,train
16.1,15.962116,-0.00430053142268404,train
16.7,16.325212,-0.011348550017231,train
16.0,16.23811,0.007385966226353318,train
16.1,16.487106,0.011879113579496997,train
15.9,16.729818,0.025431301104280938,train
16.1,16.718563,0.018847951681175916,train
16.3,16.79673,0.015008455979518007,train
16.0,16.55357,0.0170048875502521,train
16.1,16.397652,0.009159162957388103,train
15.8,16.303616,0.01568718561441242,train
16.3,16.248892,-0.0015701735125235622,train
16.4,16.037077,-0.011188513480536998,train
16.1,15.951233,-0.004641552166179672,train
15.9,15.8139515,-0.002713257831544422,train
15.7,15.868872,0.005349316322180161,train
15.7,15.733734,0.0010731884941984928,train
15.7,15.847858,0.004686803730809553,train
15.7,15.802736,0.0032611920686738444,train
15.7,15.746455,0.00147728522334477,train
16.2,16.034634,-0.005130107089654154,train
15.7,15.996986,0.009369552614114898,train
16.4,15.930361,-0.01452624772719496,train
15.8,15.587261,-0.0067778767996248416,train
15.6,15.863253,0.008366975217822033,train
15.5,15.9459915,0.014182777982521244,train
16.0,16.239395,0.00742554692946606,train
15.9,16.13163,0.007231300076891476,train
15.8,16.099773,0.009397346201510661,train
15.5,15.701792,0.0064673133144545186,train
15.3,15.517212,0.0070483897955786546,train
15.1,15.285505,0.006105046113316907,train
15.3,15.074709,-0.007417066980854212,train
15.2,15.048436,-0.0050106274763709845,train
15.0,14.875389,-0.004171021855664206,train
15.0,15.169123,0.005605820813135787,train
15.0,14.93347,-0.002222603265412703,train
14.9,14.407272,-0.016812458026777086,train
15.2,14.577828,-0.020893780347342118,train
14.8,14.33467,-0.01597169694345477,train
14.7,14.342714,-0.01230206991362206,train
14.6,14.249903,-0.012135141492687459,train
14.5,13.894299,-0.021331798191551034,train
14.3,13.86483,-0.01545083604033662,train
14.3,14.055979,-0.008605642429242617,train
14.3,13.697096,-0.02153453052539314,train
14.0,13.642691,-0.012925997177481593,train
14.0,13.587315,-0.014959244862551749,train
14.0,13.409675,-0.02153711648120131,train
13.9,13.545436,-0.012918859049033789,train
13.6,13.343079,-0.00953572411818745,train
13.6,13.211811,-0.014478295006705147,train
13.6,13.08909,-0.01914302886419201,train
13.6,13.256248,-0.012799699213282795,train
13.7,13.688652,-0.00041432381389057584,train
13.5,13.93313,0.015788583370165366,train
13.4,13.560736,0.0059618583124811195,train
13.7,13.274839,-0.015761369500744367,train
13.7,13.42757,-0.010042531075148076,train
13.7,13.572705,-0.00466747027992373,train
13.7,13.576164,-0.00454006521630211,train
13.4,13.406315,0.00023558745200465996,train
13.3,13.568927,0.010008833641322929,train
13.2,13.592952,0.014666243997123133,train
12.9,13.399215,0.01898213076425863,train
12.8,13.162964,0.013980055422134348,train
12.8,13.003408,0.007882998879950297,train
12.6,11.664587,-0.03855055703544954,train
12.6,12.568127,-0.0012664312655059394,train
12.4,12.618429,0.00873074672890513,train
12.3,11.269061,-0.04374120334942789,train
12.4,11.234968,-0.04929270235394661,train
12.1,11.941551,-0.006590638394560377,train
12.1,11.294004,-0.03445309801816457,train
11.9,11.073836,-0.035961051254320656,train
11.8,12.213247,0.017209130444883907,train
11.7,10.898953,-0.03544617145326442,train
11.7,11.024769,-0.029713436939999154,train
11.5,11.007774,-0.021869139047346584,train
11.6,11.137463,-0.020342540658783142,train
11.4,11.224404,-0.007761321972008489,train
11.4,10.916115,-0.021683201751510738,train
11.1,10.800784,-0.013662353992357903,train
