"LakeID","LakeTR","train_rmse","test_rmse","Source"
797,"Cool",0.6324861,1.0599704,"F"
800,"Warm",0.9822304,1.2505581,"F"
804,"Cool",0.71996826,1.2959868,"F"
805,"Cool",0.6283769,1.0802658,"F"
810,"Cool",0.6913613,1.184791,"F"
819,"Frigid",0.6452524,0.9710729,"F"
824,"Warm",0.67349416,0.9066381,"F"
825,"Cool",0.65029806,1.234459,"F"
827,"Cool",0.81659734,1.0579154,"F"
829,"Hot",0.77700675,0.9672198,"F"
840,"Temperate",0.6885872,1.0326319,"F"
849,"Cool",0.8287764,1.27567,"F"
881,"Warm",0.67703855,0.94823664,"F"
883,"Warm",0.6857561,1.0338386,"F"
893,"Temperate",0.6905662,1.0464303,"F"
894,"Temperate",0.8101236,1.0969207,"F"
904,"Cool",0.73148906,1.1061472,"F"
905,"Temperate",0.6298972,0.9620283,"F"
907,"Temperate",0.75536394,1.1380817,"F"
908,"Cool",0.6461008,1.133461,"F"
910,"Cool",0.67737293,1.066654,"F"
913,"Cool",0.44613287,0.6723358,"F"
920,"Cool",0.72752786,0.9958183,"F"
924,"Frigid",0.78563124,1.2778362,"F"
929,"Hot",0.7263862,0.91726464,"F"
931,"Warm",0.66744417,1.0574067,"F"
936,"Cool",0.693065,1.2570375,"F"
945,"Warm",0.8159947,1.004706,"F"
949,"Cool",0.72422576,1.1751095,"F"
976,"Cool",0.703623,1.4197505,"F"
977,"Cool",0.6717317,1.0487576,"F"
982,"Cool",0.7121559,1.2611516,"F"
1003,"Cool",0.82603204,1.1477946,"F"
1009,"Cool",0.6633578,1.2114526,"F"
1011,"Cool",0.8815035,1.2741559,"F"
1019,"Cool",0.71200436,1.3567301,"F"
1026,"Temperate",0.76530194,0.94607127,"F"
1028,"Cool",0.6943944,0.9319766,"F"
1050,"Cool",1.0527589,1.3213967,"F"
1053,"Cool",0.8174223,1.3927015,"F"
1057,"Warm",0.6266983,1.0088835,"F"
1061,"Cool",0.64592576,1.1321881,"F"
1062,"Cool",0.6242989,1.1458982,"F"
1066,"Cool",0.5782035,0.8418592,"F"
1071,"Temperate",0.631588,1.2751358,"F"
1075,"Temperate",0.65123224,1.1103923,"F"
1083,"Temperate",1.0442449,1.4840955,"F"
1107,"Hot",0.55941814,1.0717605,"F"
1110,"Warm",0.639923,1.0110669,"F"
1116,"Temperate",0.61271036,1.0650982,"F"
1128,"Warm",0.72583276,1.1180904,"F"
1130,"Cool",0.63802433,1.0573249,"F"
1145,"Warm",0.8048313,1.285951,"F"
1154,"Temperate",0.9266974,1.2891446,"F"
1169,"Temperate",0.73152196,1.1689807,"F"
1170,"Warm",0.63597965,0.974754,"F"
1174,"Temperate",0.8081242,1.1114542,"F"
1184,"Cool",0.70739365,1.2641855,"F"
1188,"Hot",0.6578349,0.9134253,"F"
1192,"Cool",0.68492925,0.9908971,"F"
1193,"Temperate",0.88514346,1.148198,"F"
1195,"Temperate",0.50478315,0.8418566,"F"
1196,"Hot",0.5974216,0.80698776,"F"
1199,"Temperate",0.6775757,1.038007,"F"
1201,"Cool",0.6981259,1.0753189,"F"
