"LakeID","LakeTR","annual_ave_95_10","Lon_centre","Lat_centre"
181,"T",15.7963914925894,86.9653,41.9958
184,"F",8.62063117481864,-111.2792,63.9569
186,"C",10.6667445982922,31.7903,65.7708
188,"H",25.2551007788318,-45.2625,-18.2458
189,"F",10.4371246005639,-118.5375,65.1208
190,"C",16.4539617652519,82.8347,54.7347
192,"C",13.8643974020695,31.2514,58.2542
193,"C",14.7318839543013,43.0931,57.2153
194,"H",23.1093171979526,-115.7236,33.2458
195,"C",12.6236481027652,29.8764,63.2097
198,"T",14.2491026382506,-79.5958,46.2569
199,"H",23.0372808609076,-51.2153,-22.7208
201,"T",13.5205861214983,-106.4375,47.9625
202,"C",12.3163095735754,27.2153,64.2986
203,"H",25.4644941066835,-50.3681,-18.7958
212,"F",5.29560167037892,-153.5875,70.5819
216,"H",26.2775945762086,-38.4875,-8.8319
217,"H",24.569231768617,-48.9625,-20.3958
220,"W",13.6643677180027,-69.0847,-39.5264
222,"C",12.3694248811638,-108.9458,56.0208
223,"C",10.9585651619691,-70.4403,49.5875
224,"C",8.27936192808499,-74.8542,57.2514
225,"C",13.6153332460397,-100.2569,53.7986
226,"F",7.48272048630303,-108.5181,64.1097
227,"F",7.62517481462784,-99.8542,65.8847
228,"C",10.979225150939,33.6403,63.2847
232,"F",7.28217853766797,-112.3708,65.1847
234,"H",26.592034970428,-92.3986,16.0431
236,"T",13.584571666164,-79.3569,44.4625
237,"C",14.8787302913073,54.1403,56.8542
239,"T",14.9109402597192,87.2097,47.2431
240,"F",9.05231975715775,87.7792,70.0153
241,"T",15.5062358558569,57.3514,41.9542
242,"C",11.5410694964927,32.1708,66.6819
243,"H",17.9162367662246,-93.6542,31.2958
246,"F",8.75366394953795,-95.1708,62.1431
248,"T",10.7740709170468,-69.2208,50.1847
249,"H",24.5861240669346,83.8153,21.5764
251,"C",13.3859518753643,-97.8181,54.6736
252,"F",7.88363053371215,-110.5097,64.4653
254,"F",10.0114018325766,-101.1569,60.8958
258,"F",9.49695407199238,31.1931,68.5847
259,"H",24.3760873924581,-51.0958,-20.6931
261,"C",8.12856052937606,90.6042,28.8375
264,"F",8.24797803059977,-101.5097,62.3486
266,"H",28.6266247936312,-101.7319,18.6069
267,"W",15.0137575277027,31.5486,37.7069
268,"W",13.660214531782,136.1681,35.3264
269,"F",6.18022708615981,-99.4764,62.8931
270,"C",13.4193349490638,-77.0097,50.8681
273,"C",10.3859657578196,31.0375,66.1042
274,"H",26.8559832191341,34.3764,11.6292
275,"F",7.58912155821383,-107.4653,63.9542
279,"W",19.4311323728048,38.2931,35.9236
280,"C",12.0511162216489,-89.9819,53.7181
281,"C",12.6794307299722,-107.2764,54.7764
285,"C",14.4210717697651,-90.5986,51.0903
287,"W",13.062330303119,119.3458,32.8458
288,"C",13.8792101524548,-100.4208,55.8986
289,"H",26.9928637214409,78.3736,15.9792
290,"C",10.8258241075385,-65.2597,53.6653
291,"C",14.0412213026015,117.7125,47.8181
292,"C",11.2944742495117,-104.3681,60.0514
296,"W",17.8158664858634,68.1903,41.1319
298,"W",17.1190195375664,-88.0625,36.4208
300,"F",7.67456384114445,97.7069,34.8931
301,"C",13.4436881883673,-97.7958,54.9931
303,"C",13.7065589313575,-100.1431,54.1569
306,"H",26.4578460458566,13.8597,8.9319
312,"F",7.34902048895374,89.4292,37.5486
313,"C",12.0361631270068,-105.8931,60.1375
319,"F",8.38705382535,-97.4069,61.5347
320,"F",7.74568972211183,-95.7708,62.8069
323,"C",13.0684922771963,-108.2986,56.0625
324,"F",9.70769687585185,-99.7681,62.3903
326,"C",13.8184902961539,-103.5903,54.6569
328,"T",16.4072031960395,46.6569,40.9653
333,"C",11.8144188700122,-105.2764,59.2208
334,"C",6.71611264898503,-107.7486,63.2403
335,"C",10.3726919386549,-73.2681,53.8986
336,"F",7.65882247939037,97.2792,34.9181
337,"C",12.9370557579868,-94.8736,56.3931
340,"T",14.8262874321505,-88.4181,44.0208
342,"H",22.3531235427322,-49.6347,-23.3542
346,"C",13.5059155405514,25.9875,62.8764
353,"F",7.8398349367086,-74.3569,59.4819
354,"F",7.86924098748042,82.9403,31.5403
356,"C",13.5787101329133,-93.0431,53.0069
360,"H",20.8670830497247,-49.0625,-23.2542
361,"T",14.9832449983578,34.0236,48.8403
362,"H",18.0770911992863,-94.2153,31.1403
364,"F",9.44784249539128,88.6931,67.0208
365,"C",9.48644269982689,-102.9736,60.6681
366,"T",14.5419658347123,-93.6625,46.2681
367,"C",12.4207634848709,-121.2764,60.5097
368,"C",12.4726455479657,-70.9847,50.7792
369,"C",12.7693890962752,23.7403,61.5792
371,"F",6.41318535692912,-95.5847,64.9458
372,"H",25.5664785030474,92.2042,22.5958
373,"F",7.53451507479267,-98.8681,63.7458
376,"F",11.0542356906493,27.5708,67.9431
379,"W",14.7852653586291,-68.8208,-38.5375
382,"F",7.11996564631994,88.4319,31.0681
383,"F",6.3562774370472,84.0181,31.1431
386,"H",26.8527414459651,-10.3514,13.0403
387,"C",12.2659757123052,15.8681,59.2319
389,"F",2.71695059542098,-82.3514,68.6458
391,"C",13.2927335010618,-107.7486,55.5542
393,"C",9.88122529595402,14.2764,63.2236
395,"F",5.36616461467994,-97.5319,63.9542
396,"F",6.61243820127821,-102.8819,66.6569
400,"F",9.3427967163674,-125.2514,66.8208
402,"C",13.4733684115199,-106.4681,50.9903
404,"C",13.821758146351,-108.4875,56.4542
405,"C",13.5892645819451,-105.6431,54.3569
409,"C",12.7219652754383,-109.7125,54.9236
411,"W",15.4131109654293,-119.5986,40.1069
412,"F",6.75864866899639,-95.3125,66.9542
413,"F",7.20570922994031,-98.4458,63.9625
417,"F",5.30886561958631,-119.7042,68.3708
419,"C",12.0081274328417,-64.6125,52.7097
421,"C",11.0918912383313,-65.1792,52.8292
422,"C",13.3932783827105,27.8181,62.8431
424,"F",4.62140560442656,-80.6792,70.6681
426,"F",10.4192923131245,-125.9847,67.1819
427,"C",14.5655176813918,38.9097,60.7181
430,"C",12.0644909238518,-117.3514,63.8986
432,"C",9.65667135632417,-73.3097,50.9042
434,"C",14.4756804040301,39.4958,59.6181
438,"F",5.67560515878949,-97.4542,64.7708
441,"W",17.8145632451884,-95.5597,35.3125
442,"H",24.0226854491665,82.8375,24.1319
443,"T",7.81081822049574,-71.2125,-48.9264
444,"F",8.78467137355606,87.1764,31.0681
445,"H",21.1376284517641,38.8181,8.0069
448,"T",9.46352392247738,-69.1819,-45.4153
449,"F",8.64897020289382,-99.8625,64.0931
454,"C",12.7411622852469,-96.7597,54.2181
456,"F",6.63034612078777,90.3569,34.8653
458,"C",12.998915104857,-118.7319,59.7403
460,"W",17.3191520602589,25.6875,-30.6903
461,"T",16.058812277899,70.1764,40.3153
462,"H",21.4557853467576,25.9431,-15.7931
464,"T",14.8618178171752,-120.4097,42.0097
465,"C",11.8176602432339,-121.5597,63.9236
