"lake_id","test_rmse","Model"
462,0.6633246,"Transfer-PIDL-Frigid"
464,1.6485289,"Transfer-PIDL-Frigid"
465,1.3401797,"Transfer-PIDL-Frigid"
467,1.7102029,"Transfer-PIDL-Frigid"
471,1.0036242,"Transfer-PIDL-Frigid"
472,1.0598588,"Transfer-PIDL-Frigid"
474,1.2562535,"Transfer-PIDL-Frigid"
477,0.89491946,"Transfer-PIDL-Frigid"
481,0.8879494,"Transfer-PIDL-Frigid"
482,1.0725293,"Transfer-PIDL-Frigid"
483,1.2688475,"Transfer-PIDL-Frigid"
484,1.0821322,"Transfer-PIDL-Frigid"
486,1.1345828,"Transfer-PIDL-Frigid"
488,1.0082536,"Transfer-PIDL-Frigid"
493,1.3670388,"Transfer-PIDL-Frigid"
494,1.0757046,"Transfer-PIDL-Frigid"
495,2.381953,"Transfer-PIDL-Frigid"
496,0.74358463,"Transfer-PIDL-Frigid"
503,1.9145042,"Transfer-PIDL-Frigid"
508,1.1055946,"Transfer-PIDL-Frigid"
510,0.809113,"Transfer-PIDL-Frigid"
514,1.5813733,"Transfer-PIDL-Frigid"
516,1.2381893,"Transfer-PIDL-Frigid"
517,1.361606,"Transfer-PIDL-Frigid"
519,1.8673996,"Transfer-PIDL-Frigid"
522,1.2937386,"Transfer-PIDL-Frigid"
523,1.0841706,"Transfer-PIDL-Frigid"
527,1.1188669,"Transfer-PIDL-Frigid"
528,0.8334402,"Transfer-PIDL-Frigid"
529,1.0767105,"Transfer-PIDL-Frigid"
530,1.2666193,"Transfer-PIDL-Frigid"
531,1.2051237,"Transfer-PIDL-Frigid"
533,1.2123686,"Transfer-PIDL-Frigid"
534,1.0186499,"Transfer-PIDL-Frigid"
539,1.4377612,"Transfer-PIDL-Frigid"
543,0.82888466,"Transfer-PIDL-Frigid"
545,0.9577848,"Transfer-PIDL-Frigid"
548,1.3276012,"Transfer-PIDL-Frigid"
549,1.1827784,"Transfer-PIDL-Frigid"
553,0.8658967,"Transfer-PIDL-Frigid"
555,1.0685393,"Transfer-PIDL-Frigid"
556,0.9546388,"Transfer-PIDL-Frigid"
557,1.5102594,"Transfer-PIDL-Frigid"
558,1.3289874,"Transfer-PIDL-Frigid"
562,0.9272135,"Transfer-PIDL-Frigid"
566,1.0742661,"Transfer-PIDL-Frigid"
567,1.224249,"Transfer-PIDL-Frigid"
568,1.6890126,"Transfer-PIDL-Frigid"
569,1.2130537,"Transfer-PIDL-Frigid"
570,1.3777713,"Transfer-PIDL-Frigid"
571,1.4953717,"Transfer-PIDL-Frigid"
573,1.1586417,"Transfer-PIDL-Frigid"
576,1.066347,"Transfer-PIDL-Frigid"
590,1.229154,"Transfer-PIDL-Frigid"
594,1.1178287,"Transfer-PIDL-Frigid"
601,1.0098454,"Transfer-PIDL-Frigid"
603,0.85917133,"Transfer-PIDL-Frigid"
623,1.2554079,"Transfer-PIDL-Frigid"
624,1.2605613,"Transfer-PIDL-Frigid"
630,1.1555951,"Transfer-PIDL-Frigid"
634,0.92347264,"Transfer-PIDL-Frigid"
635,1.6761905,"Transfer-PIDL-Frigid"
637,1.0367095,"Transfer-PIDL-Frigid"
639,1.508105,"Transfer-PIDL-Frigid"
645,1.1283116,"Transfer-PIDL-Frigid"
646,1.0485371,"Transfer-PIDL-Frigid"
648,1.4260628,"Transfer-PIDL-Frigid"
654,1.1039298,"Transfer-PIDL-Frigid"
657,1.1580552,"Transfer-PIDL-Frigid"
672,1.0992082,"Transfer-PIDL-Frigid"
679,1.108421,"Transfer-PIDL-Frigid"
681,0.9551268,"Transfer-PIDL-Frigid"
684,1.0755278,"Transfer-PIDL-Frigid"
710,1.1089576,"Transfer-PIDL-Frigid"
