"LakeID","LakeTR","train_rmse","test_rmse","Source","Scenario"
1116,"T",0.61271036,1.0650982,"F","Cross-domain transfer"
1128,"W",0.72583276,1.1180904,"F","Cross-domain transfer"
1130,"C",0.63802433,1.0573249,"F","Cross-domain transfer"
1145,"W",0.8048313,1.285951,"F","Cross-domain transfer"
1154,"T",0.9266974,1.2891446,"F","Cross-domain transfer"
1169,"T",0.73152196,1.1689807,"F","Cross-domain transfer"
1170,"W",0.63597965,0.974754,"F","Cross-domain transfer"
1174,"T",0.8081242,1.1114542,"F","Cross-domain transfer"
1184,"C",0.70739365,1.2641855,"F","Cross-domain transfer"
1188,"H",0.6578349,0.9134253,"F","Cross-domain transfer"
1192,"C",0.68492925,0.9908971,"F","Cross-domain transfer"
1193,"T",0.88514346,1.148198,"F","Cross-domain transfer"
1195,"T",0.50478315,0.8418566,"F","Cross-domain transfer"
1196,"H",0.5974216,0.80698776,"F","Cross-domain transfer"
1199,"T",0.6775757,1.038007,"F","Cross-domain transfer"
1201,"C",0.6981259,1.0753189,"F","Cross-domain transfer"
1203,"T",0.8027139,1.1468822,"F","Cross-domain transfer"
1204,"W",0.59327996,0.88623375,"F","Cross-domain transfer"
1219,"H",0.545079,0.8852957,"F","Cross-domain transfer"
1221,"C",0.6993538,1.1320523,"F","Cross-domain transfer"
1236,"W",0.80681753,0.9508492,"F","Cross-domain transfer"
1237,"C",0.71146756,1.1626974,"F","Cross-domain transfer"
1240,"C",0.54578173,0.9857701,"F","Cross-domain transfer"
1246,"C",0.62877136,1.0869921,"F","Cross-domain transfer"
1249,"C",0.64361435,1.1615729,"F","Cross-domain transfer"
1259,"T",0.52247816,0.7680662,"F","Cross-domain transfer"
1270,"H",0.66751045,1.2945619,"F","Cross-domain transfer"
1283,"F",0.56183547,0.76401025,"F","Intra-domain transfer"
1286,"C",0.8367111,1.4247161,"F","Cross-domain transfer"
1294,"C",0.884922,1.3180001,"F","Cross-domain transfer"
1319,"C",0.8358947,1.1900263,"F","Cross-domain transfer"
1321,"H",0.816662,0.9858202,"F","Cross-domain transfer"
1336,"C",0.5531047,0.938535,"F","Cross-domain transfer"
1344,"W",0.7178111,1.1386065,"F","Cross-domain transfer"
1358,"H",0.6068991,1.2626662,"F","Cross-domain transfer"
1359,"T",0.5846195,1.0787996,"F","Cross-domain transfer"
1360,"T",0.7480752,0.9102147,"F","Cross-domain transfer"
1368,"H",0.69236124,0.96984226,"F","Cross-domain transfer"
1370,"C",0.7241323,1.1465706,"F","Cross-domain transfer"
1375,"C",0.65156275,1.0312485,"F","Cross-domain transfer"
1424,"C",0.926251,1.3500477,"F","Cross-domain transfer"
1425,"C",0.6174756,1.1273658,"F","Cross-domain transfer"
1432,"C",0.58010614,0.9194705,"F","Cross-domain transfer"
1434,"H",0.6032243,0.81057596,"F","Cross-domain transfer"
1467,"H",0.7374813,1.0375041,"F","Cross-domain transfer"
1489,"C",0.6115529,1.0810791,"F","Cross-domain transfer"
1493,"H",0.81563747,1.1716336,"F","Cross-domain transfer"
1498,"T",0.5638933,0.962117,"F","Cross-domain transfer"
1505,"T",0.6689996,1.0012128,"F","Cross-domain transfer"
1516,"C",0.8312836,1.4160836,"F","Cross-domain transfer"
1524,"C",0.8369485,1.2203948,"F","Cross-domain transfer"
1526,"T",0.5433468,0.93185616,"F","Cross-domain transfer"
