"test_rmse","lake_id","iter","fs","Model"
0.97367954,"Kasumigaura",3,36,"Transfer-PIDL"
0.9231379,"Kasumigaura",4,36,"Transfer-PIDL"
1.075694,"Kasumigaura",5,36,"Transfer-PIDL"
0.95421964,"Kasumigaura",1,42,"Transfer-PIDL"
0.95185584,"Kasumigaura",2,42,"Transfer-PIDL"
0.9354201,"Kasumigaura",3,42,"Transfer-PIDL"
0.98596275,"Kasumigaura",4,42,"Transfer-PIDL"
1.430682,"Kasumigaura",5,42,"Transfer-PIDL"
0.89152074,"Kasumigaura",1,48,"Transfer-PIDL"
0.8583909,"Kasumigaura",2,48,"Transfer-PIDL"
0.8594525,"Kasumigaura",3,48,"Transfer-PIDL"
0.8982832,"Kasumigaura",4,48,"Transfer-PIDL"
1.0924107,"Kasumigaura",5,48,"Transfer-PIDL"
0.6496163,"WindermereSouthBasin",0,72,"Transfer-PIDL"
0.55876935,"Feeagh",0,72,"Transfer-PIDL"
0.76475096,"Kasumigaura",0,72,"Transfer-PIDL"
3.094255,"WindermereSouthBasin",1,1,"PIDL"
3.4809155,"WindermereSouthBasin",2,1,"PIDL"
6.205767,"WindermereSouthBasin",3,1,"PIDL"
5.3685284,"WindermereSouthBasin",4,1,"PIDL"
1.2348983,"WindermereSouthBasin",5,1,"PIDL"
1.038982,"WindermereSouthBasin",1,6,"PIDL"
3.5394516,"WindermereSouthBasin",2,6,"PIDL"
1.0186048,"WindermereSouthBasin",3,6,"PIDL"
1.1350873,"WindermereSouthBasin",4,6,"PIDL"
1.0711533,"WindermereSouthBasin",5,6,"PIDL"
1.056155,"WindermereSouthBasin",1,12,"PIDL"
0.9934343,"WindermereSouthBasin",2,12,"PIDL"
0.92137444,"WindermereSouthBasin",3,12,"PIDL"
1.1248182,"WindermereSouthBasin",4,12,"PIDL"
1.0669844,"WindermereSouthBasin",5,12,"PIDL"
1.0159963,"WindermereSouthBasin",1,18,"PIDL"
1.3351152,"WindermereSouthBasin",2,18,"PIDL"
1.0052966,"WindermereSouthBasin",3,18,"PIDL"
1.0668828,"WindermereSouthBasin",4,18,"PIDL"
1.0776216,"WindermereSouthBasin",5,18,"PIDL"
0.9430516,"WindermereSouthBasin",1,24,"PIDL"
1.1446542,"WindermereSouthBasin",2,24,"PIDL"
0.9551435,"WindermereSouthBasin",3,24,"PIDL"
1.1248864,"WindermereSouthBasin",4,24,"PIDL"
1.0647666,"WindermereSouthBasin",5,24,"PIDL"
0.9157158,"WindermereSouthBasin",1,30,"PIDL"
1.1448085,"WindermereSouthBasin",2,30,"PIDL"
0.88152957,"WindermereSouthBasin",3,30,"PIDL"
1.1017643,"WindermereSouthBasin",4,30,"PIDL"
1.0633698,"WindermereSouthBasin",5,30,"PIDL"
0.9212684,"WindermereSouthBasin",1,36,"PIDL"
1.094156,"WindermereSouthBasin",2,36,"PIDL"
0.8911065,"WindermereSouthBasin",3,36,"PIDL"
1.0696076,"WindermereSouthBasin",4,36,"PIDL"
1.0639973,"WindermereSouthBasin",5,36,"PIDL"
0.94744,"WindermereSouthBasin",1,42,"PIDL"
1.0146421,"WindermereSouthBasin",2,42,"PIDL"
1.0080591,"WindermereSouthBasin",3,42,"PIDL"
0.8566432,"WindermereSouthBasin",4,42,"PIDL"
0.9905579,"WindermereSouthBasin",5,42,"PIDL"
0.9009955,"WindermereSouthBasin",1,48,"PIDL"
1.0307413,"WindermereSouthBasin",2,48,"PIDL"
0.8455645,"WindermereSouthBasin",3,48,"PIDL"
0.8982401,"WindermereSouthBasin",4,48,"PIDL"
0.7315375,"WindermereSouthBasin",5,48,"PIDL"
1.943208,"Feeagh",1,1,"PIDL"
2.507159,"Feeagh",2,1,"PIDL"
3.5235622,"Feeagh",3,1,"PIDL"
2.602014,"Feeagh",4,1,"PIDL"
3.1955345,"Feeagh",5,1,"PIDL"
1.5753117,"Feeagh",1,6,"PIDL"
1.1318569,"Feeagh",2,6,"PIDL"
6.952345,"Feeagh",3,6,"PIDL"
1.2649773,"Feeagh",4,6,"PIDL"
0.8239593,"Feeagh",5,6,"PIDL"
0.7920513,"Feeagh",1,12,"PIDL"
0.9797572,"Feeagh",2,12,"PIDL"
0.81563884,"Feeagh",3,12,"PIDL"
0.8888778,"Feeagh",4,12,"PIDL"
0.9201452,"Feeagh",5,12,"PIDL"
0.9886785,"Feeagh",1,18,"PIDL"
1.0157536,"Feeagh",2,18,"PIDL"
0.8288723,"Feeagh",3,18,"PIDL"
0.8961445,"Feeagh",4,18,"PIDL"
0.8943075,"Feeagh",5,18,"PIDL"
0.76198673,"Feeagh",1,24,"PIDL"
0.9946751,"Feeagh",2,24,"PIDL"
0.80790746,"Feeagh",3,24,"PIDL"
0.867937,"Feeagh",4,24,"PIDL"
0.91112953,"Feeagh",5,24,"PIDL"
0.75461835,"Feeagh",1,30,"PIDL"
1.0004805,"Feeagh",2,30,"PIDL"
0.7733801,"Feeagh",3,30,"PIDL"
0.8510043,"Feeagh",4,30,"PIDL"
0.89759696,"Feeagh",5,30,"PIDL"
0.90869117,"Feeagh",1,36,"PIDL"
0.96312976,"Feeagh",2,36,"PIDL"
0.76045036,"Feeagh",3,36,"PIDL"
0.7444168,"Feeagh",4,36,"PIDL"
0.875411,"Feeagh",5,36,"PIDL"
0.99924964,"Feeagh",1,42,"PIDL"
0.9826661,"Feeagh",2,42,"PIDL"
0.6984886,"Feeagh",3,42,"PIDL"
0.5967963,"Feeagh",4,42,"PIDL"
0.70197296,"Feeagh",5,42,"PIDL"
0.8381752,"Feeagh",1,48,"PIDL"
0.71571404,"Feeagh",2,48,"PIDL"
0.65900004,"Feeagh",3,48,"PIDL"
0.6792945,"Feeagh",4,48,"PIDL"
0.85747445,"Feeagh",5,48,"PIDL"
2.560459,"Kasumigaura",1,1,"PIDL"
5.5019145,"Kasumigaura",2,1,"PIDL"
15.728508,"Kasumigaura",3,1,"PIDL"
2.4554207,"Kasumigaura",4,1,"PIDL"
11.888535,"Kasumigaura",5,1,"PIDL"
1.389116,"Kasumigaura",1,6,"PIDL"
2.4401512,"Kasumigaura",2,6,"PIDL"
2.0992575,"Kasumigaura",3,6,"PIDL"
1.463033,"Kasumigaura",4,6,"PIDL"
2.3401034,"Kasumigaura",5,6,"PIDL"
1.5387275,"Kasumigaura",1,12,"PIDL"
1.5109911,"Kasumigaura",2,12,"PIDL"
1.6543399,"Kasumigaura",3,12,"PIDL"
1.3553619,"Kasumigaura",4,12,"PIDL"
1.5530838,"Kasumigaura",5,12,"PIDL"
1.5367975,"Kasumigaura",1,18,"PIDL"
1.4618609,"Kasumigaura",2,18,"PIDL"
1.5467876,"Kasumigaura",3,18,"PIDL"
1.270456,"Kasumigaura",4,18,"PIDL"
1.3838539,"Kasumigaura",5,18,"PIDL"
1.4108099,"Kasumigaura",1,24,"PIDL"
1.4178249,"Kasumigaura",2,24,"PIDL"
1.4200238,"Kasumigaura",3,24,"PIDL"
1.4458028,"Kasumigaura",4,24,"PIDL"
1.4395804,"Kasumigaura",5,24,"PIDL"
1.5450882,"Kasumigaura",1,30,"PIDL"
1.4130665,"Kasumigaura",2,30,"PIDL"
1.4871157,"Kasumigaura",3,30,"PIDL"
1.4395471,"Kasumigaura",4,30,"PIDL"
1.4504507,"Kasumigaura",5,30,"PIDL"
1.4770975,"Kasumigaura",1,36,"PIDL"
1.4237869,"Kasumigaura",2,36,"PIDL"
1.4409566,"Kasumigaura",3,36,"PIDL"
1.468309,"Kasumigaura",4,36,"PIDL"
1.3488743,"Kasumigaura",5,36,"PIDL"
1.631919,"Kasumigaura",1,42,"PIDL"
1.3424376,"Kasumigaura",2,42,"PIDL"
1.6079595,"Kasumigaura",3,42,"PIDL"
1.3222852,"Kasumigaura",4,42,"PIDL"
1.4177989,"Kasumigaura",5,42,"PIDL"
1.3350071,"Kasumigaura",1,48,"PIDL"
1.3122396,"Kasumigaura",2,48,"PIDL"
1.4165173,"Kasumigaura",3,48,"PIDL"
1.3747405,"Kasumigaura",4,48,"PIDL"
1.3784603,"Kasumigaura",5,48,"PIDL"
0.81539536,"WindermereSouthBasin",0,72,"PIDL"
0.75723505,"Feeagh",0,72,"PIDL"
1.2505515,"Kasumigaura",0,72,"PIDL"
4.0952916,"WindermereSouthBasin",1,1,"DL"
5.4236083,"WindermereSouthBasin",2,1,"DL"
9.670293,"WindermereSouthBasin",3,1,"DL"
8.327328,"WindermereSouthBasin",4,1,"DL"
7.1327457,"WindermereSouthBasin",5,1,"DL"
3.7516751,"WindermereSouthBasin",1,6,"DL"
4.599897,"WindermereSouthBasin",2,6,"DL"
3.3019931,"WindermereSouthBasin",3,6,"DL"
2.485051,"WindermereSouthBasin",4,6,"DL"
1.5751665,"WindermereSouthBasin",5,6,"DL"
1.855989,"WindermereSouthBasin",1,12,"DL"
1.5406706,"WindermereSouthBasin",2,12,"DL"
1.4544532,"WindermereSouthBasin",3,12,"DL"
1.6016444,"WindermereSouthBasin",4,12,"DL"
1.5087216,"WindermereSouthBasin",5,12,"DL"
1.8051547,"WindermereSouthBasin",1,18,"DL"
1.7070552,"WindermereSouthBasin",2,18,"DL"
1.6727821,"WindermereSouthBasin",3,18,"DL"
2.1491165,"WindermereSouthBasin",4,18,"DL"
1.270389,"WindermereSouthBasin",5,18,"DL"
1.502083,"WindermereSouthBasin",1,24,"DL"
1.4945573,"WindermereSouthBasin",2,24,"DL"
1.5915302,"WindermereSouthBasin",3,24,"DL"
1.4573535,"WindermereSouthBasin",4,24,"DL"
1.5475155,"WindermereSouthBasin",5,24,"DL"
1.4005717,"WindermereSouthBasin",1,30,"DL"
1.683067,"WindermereSouthBasin",2,30,"DL"
1.4282569,"WindermereSouthBasin",3,30,"DL"
1.5532308,"WindermereSouthBasin",4,30,"DL"
1.6265813,"WindermereSouthBasin",5,30,"DL"
1.3032064,"WindermereSouthBasin",1,36,"DL"
1.1141151,"WindermereSouthBasin",2,36,"DL"
1.3433214,"WindermereSouthBasin",3,36,"DL"
1.3068118,"WindermereSouthBasin",4,36,"DL"
1.4342963,"WindermereSouthBasin",5,36,"DL"
1.2588252,"WindermereSouthBasin",1,42,"DL"
1.3934876,"WindermereSouthBasin",2,42,"DL"
1.2130755,"WindermereSouthBasin",3,42,"DL"
1.1872263,"WindermereSouthBasin",4,42,"DL"
1.2773944,"WindermereSouthBasin",5,42,"DL"
1.3775593,"WindermereSouthBasin",1,48,"DL"
1.1830609,"WindermereSouthBasin",2,48,"DL"
1.3730283,"WindermereSouthBasin",3,48,"DL"
1.2441856,"WindermereSouthBasin",4,48,"DL"
1.1876417,"WindermereSouthBasin",5,48,"DL"
3.1436532,"Feeagh",1,1,"DL"
6.291089,"Feeagh",2,1,"DL"
4.6209536,"Feeagh",3,1,"DL"
7.2813644,"Feeagh",4,1,"DL"
4.769106,"Feeagh",5,1,"DL"
3.0528696,"Feeagh",1,6,"DL"
3.6249576,"Feeagh",2,6,"DL"
1.7075891,"Feeagh",3,6,"DL"
1.9911377,"Feeagh",4,6,"DL"
2.296545,"Feeagh",5,6,"DL"
1.9122484,"Feeagh",1,12,"DL"
1.6380122,"Feeagh",2,12,"DL"
1.6540378,"Feeagh",3,12,"DL"
1.6775374,"Feeagh",4,12,"DL"
1.9325832,"Feeagh",5,12,"DL"
1.5653937,"Feeagh",1,18,"DL"
1.4996343,"Feeagh",2,18,"DL"
1.6428722,"Feeagh",3,18,"DL"
1.6597649,"Feeagh",4,18,"DL"
1.7208813,"Feeagh",5,18,"DL"
1.2713641,"Feeagh",1,24,"DL"
1.4316492,"Feeagh",2,24,"DL"
1.3405253,"Feeagh",3,24,"DL"
1.32506,"Feeagh",4,24,"DL"
1.4693224,"Feeagh",5,24,"DL"
1.1869122,"Feeagh",1,30,"DL"
1.4422942,"Feeagh",2,30,"DL"
1.0573303,"Feeagh",3,30,"DL"
1.4865515,"Feeagh",4,30,"DL"
1.215377,"Feeagh",5,30,"DL"
1.1280237,"Feeagh",1,36,"DL"
1.2455107,"Feeagh",2,36,"DL"
1.3017551,"Feeagh",3,36,"DL"
1.0365715,"Feeagh",4,36,"DL"
1.082242,"Feeagh",5,36,"DL"
1.0804137,"Feeagh",1,42,"DL"
1.1211697,"Feeagh",2,42,"DL"
1.2336047,"Feeagh",3,42,"DL"
1.1519752,"Feeagh",4,42,"DL"
1.3308723,"Feeagh",5,42,"DL"
1.0612671,"Feeagh",1,48,"DL"
1.3304024,"Feeagh",2,48,"DL"
1.3367927,"Feeagh",3,48,"DL"
1.1717609,"Feeagh",4,48,"DL"
1.0770979,"Feeagh",5,48,"DL"
12.42811,"Kasumigaura",1,1,"DL"
11.574745,"Kasumigaura",2,1,"DL"
14.694426,"Kasumigaura",3,1,"DL"
11.363613,"Kasumigaura",4,1,"DL"
7.679121,"Kasumigaura",5,1,"DL"
12.304709,"Kasumigaura",1,6,"DL"
4.4403076,"Kasumigaura",2,6,"DL"
4.1905375,"Kasumigaura",3,6,"DL"
2.7171226,"Kasumigaura",4,6,"DL"
5.557868,"Kasumigaura",5,6,"DL"
2.141648,"Kasumigaura",1,12,"DL"
1.8186294,"Kasumigaura",2,12,"DL"
1.6148996,"Kasumigaura",3,12,"DL"
1.9361731,"Kasumigaura",4,12,"DL"
2.1144204,"Kasumigaura",5,12,"DL"
1.9362856,"Kasumigaura",1,18,"DL"
1.9114213,"Kasumigaura",2,18,"DL"
1.6016498,"Kasumigaura",3,18,"DL"
1.7362692,"Kasumigaura",4,18,"DL"
2.1654093,"Kasumigaura",5,18,"DL"
1.8175628,"Kasumigaura",1,24,"DL"
1.7542981,"Kasumigaura",2,24,"DL"
1.8562386,"Kasumigaura",3,24,"DL"
1.9773059,"Kasumigaura",4,24,"DL"
2.1487756,"Kasumigaura",5,24,"DL"
1.6370962,"Kasumigaura",1,30,"DL"
1.6552104,"Kasumigaura",2,30,"DL"
1.8363439,"Kasumigaura",3,30,"DL"
1.6737059,"Kasumigaura",4,30,"DL"
1.6978185,"Kasumigaura",5,30,"DL"
1.4354306,"Kasumigaura",1,36,"DL"
1.623752,"Kasumigaura",2,36,"DL"
1.7285947,"Kasumigaura",3,36,"DL"
1.6019344,"Kasumigaura",4,36,"DL"
1.8903939,"Kasumigaura",5,36,"DL"
1.9450891,"Kasumigaura",1,42,"DL"
1.7027428,"Kasumigaura",2,42,"DL"
1.587709,"Kasumigaura",3,42,"DL"
1.4814471,"Kasumigaura",4,42,"DL"
1.6821896,"Kasumigaura",5,42,"DL"
1.4914684,"Kasumigaura",1,48,"DL"
1.7715683,"Kasumigaura",2,48,"DL"
1.5867428,"Kasumigaura",3,48,"DL"
1.593544,"Kasumigaura",4,48,"DL"
1.9879694,"Kasumigaura",5,48,"DL"
1.2501444,"WindermereSouthBasin",0,72,"DL"
1.0447578,"Feeagh",0,72,"DL"
1.4952836,"Kasumigaura",0,72,"DL"
1.01965947967963,"WindermereSouthBasin",1,1,"PB"
1.06412071938779,"WindermereSouthBasin",2,1,"PB"
1.02384563423668,"WindermereSouthBasin",3,1,"PB"
2.70288232116882,"WindermereSouthBasin",4,1,"PB"
0.689196664683283,"WindermereSouthBasin",5,1,"PB"
0.782531055230458,"WindermereSouthBasin",1,6,"PB"
0.768725814509761,"WindermereSouthBasin",2,6,"PB"
0.687591618990856,"WindermereSouthBasin",3,6,"PB"
0.910283575994383,"WindermereSouthBasin",4,6,"PB"
0.689196664683283,"WindermereSouthBasin",5,6,"PB"
0.782531055230458,"WindermereSouthBasin",1,12,"PB"
0.911277041711783,"WindermereSouthBasin",2,12,"PB"
0.687591618990856,"WindermereSouthBasin",3,12,"PB"
0.850592019622955,"WindermereSouthBasin",4,12,"PB"
0.689196664683283,"WindermereSouthBasin",5,12,"PB"
0.782531055230458,"WindermereSouthBasin",1,18,"PB"
0.768725814509761,"WindermereSouthBasin",2,18,"PB"
0.687591618990856,"WindermereSouthBasin",3,18,"PB"
0.964315077681553,"WindermereSouthBasin",4,18,"PB"
0.689196664683283,"WindermereSouthBasin",5,18,"PB"
0.782531055230458,"WindermereSouthBasin",1,24,"PB"
0.900868791316761,"WindermereSouthBasin",2,24,"PB"
0.687591618990856,"WindermereSouthBasin",3,24,"PB"
0.964315077681553,"WindermereSouthBasin",4,24,"PB"
0.689196664683283,"WindermereSouthBasin",5,24,"PB"
0.782531055230458,"WindermereSouthBasin",1,30,"PB"
0.900868791316761,"WindermereSouthBasin",2,30,"PB"
0.687591618990856,"WindermereSouthBasin",3,30,"PB"
0.964315077681553,"WindermereSouthBasin",4,30,"PB"
0.689196664683283,"WindermereSouthBasin",5,30,"PB"
0.782531055230458,"WindermereSouthBasin",1,36,"PB"
0.900868791316761,"WindermereSouthBasin",2,36,"PB"
0.687591618990856,"WindermereSouthBasin",3,36,"PB"
0.964315077681553,"WindermereSouthBasin",4,36,"PB"
0.689196664683283,"WindermereSouthBasin",5,36,"PB"
0.782531055230458,"WindermereSouthBasin",1,42,"PB"
0.900868791316761,"WindermereSouthBasin",2,42,"PB"
0.687591618990856,"WindermereSouthBasin",3,42,"PB"
0.850592019622955,"WindermereSouthBasin",4,42,"PB"
0.824185085547654,"WindermereSouthBasin",5,42,"PB"
0.782531055230458,"WindermereSouthBasin",1,48,"PB"
0.900868791316761,"WindermereSouthBasin",2,48,"PB"
0.687591618990856,"WindermereSouthBasin",3,48,"PB"
0.964315077681553,"WindermereSouthBasin",4,48,"PB"
0.824185085547654,"WindermereSouthBasin",5,48,"PB"
0.835369072747537,"Feeagh",1,1,"PB"
1.24094665331836,"Feeagh",2,1,"PB"
0.909418227853306,"Feeagh",3,1,"PB"
4.54143995150496,"Feeagh",4,1,"PB"
2.54957246359704,"Feeagh",5,1,"PB"
0.730900044803276,"Feeagh",1,6,"PB"
0.673446155760363,"Feeagh",2,6,"PB"
0.863908187724126,"Feeagh",3,6,"PB"
0.970892695757626,"Feeagh",4,6,"PB"
0.937575234953219,"Feeagh",5,6,"PB"
0.709770122941886,"Feeagh",1,12,"PB"
0.656911654423763,"Feeagh",2,12,"PB"
0.687257597802471,"Feeagh",3,12,"PB"
0.655005308799352,"Feeagh",4,12,"PB"
0.800113647260353,"Feeagh",5,12,"PB"
0.730900044803276,"Feeagh",1,18,"PB"
0.725367190510597,"Feeagh",2,18,"PB"
0.687257597802471,"Feeagh",3,18,"PB"
0.655005308799352,"Feeagh",4,18,"PB"
0.832920164276705,"Feeagh",5,18,"PB"
0.709770122941886,"Feeagh",1,24,"PB"
0.656911654423763,"Feeagh",2,24,"PB"
0.687257597802471,"Feeagh",3,24,"PB"
0.655005308799352,"Feeagh",4,24,"PB"
0.800113647260353,"Feeagh",5,24,"PB"
0.709770122941886,"Feeagh",1,30,"PB"
0.656911654423763,"Feeagh",2,30,"PB"
0.687257597802471,"Feeagh",3,30,"PB"
0.655005308799352,"Feeagh",4,30,"PB"
0.800113647260353,"Feeagh",5,30,"PB"
0.730900044803276,"Feeagh",1,36,"PB"
0.656911654423763,"Feeagh",2,36,"PB"
0.687257597802471,"Feeagh",3,36,"PB"
0.970892695757626,"Feeagh",4,36,"PB"
0.800113647260353,"Feeagh",5,36,"PB"
0.730900044803276,"Feeagh",1,42,"PB"
0.656911654423763,"Feeagh",2,42,"PB"
0.687257597802471,"Feeagh",3,42,"PB"
0.970892695757626,"Feeagh",4,42,"PB"
0.953248530008481,"Feeagh",5,42,"PB"
0.730900044803276,"Feeagh",1,48,"PB"
0.656911654423763,"Feeagh",2,48,"PB"
0.687257597802471,"Feeagh",3,48,"PB"
0.655005308799352,"Feeagh",4,48,"PB"
0.953248530008481,"Feeagh",5,48,"PB"
1.21072066772887,"Kasumigaura",1,1,"PB"
2.28151698367173,"Kasumigaura",2,1,"PB"
3.1360512266218,"Kasumigaura",3,1,"PB"
2.50484410322019,"Kasumigaura",4,1,"PB"
