"Observed","Predicted","Error","phase","Model","absError","lake_id","reduce_Error","Phase"
5.589121,5.441381,-0.0133937593544775,"train","local-PIDL",0.14774,"WindermereSouthBasin",-0.164587,"Calibration"
5.7126584,5.460048,-0.0226095802527811,"train","local-PIDL",0.2526104,"WindermereSouthBasin",-0.0769994999999994,"Calibration"
5.76415,5.59043,-0.0152995849200497,"train","local-PIDL",0.17372,"WindermereSouthBasin",-0.200743399999999,"Calibration"
5.962,6.093354,0.0108959330999913,"train","local-PIDL",0.131354,"WindermereSouthBasin",-0.0388630000000001,"Calibration"
6.312896,6.605571,0.0226555541069928,"train","local-PIDL",0.292675,"WindermereSouthBasin",-0.0531040000000003,"Calibration"
6.7527127,6.9387045,0.0135845516294841,"train","local-PIDL",0.1859918,"WindermereSouthBasin",0.0787450999999999,"Calibration"
7.102425,6.821355,-0.0201863454542547,"train","local-PIDL",0.281070000000001,"WindermereSouthBasin",0.0771870000000003,"Calibration"
6.6273665,6.6316314,0.000321655646196627,"train","local-PIDL",0.0042648999999999,"WindermereSouthBasin",-0.1824851,"Calibration"
6.7170625,6.68139,-0.00266244666858918,"train","local-PIDL",0.0356724999999996,"WindermereSouthBasin",-0.1739522,"Calibration"
7.0110083,6.8438005,-0.0120685691315008,"train","local-PIDL",0.1672078,"WindermereSouthBasin",-0.0876205000000008,"Calibration"
6.486325,6.855412,0.0276641058769499,"train","local-PIDL",0.369087,"WindermereSouthBasin",-0.106569299999999,"Calibration"
6.286267,6.5745068,0.0224123342566832,"train","local-PIDL",0.2882398,"WindermereSouthBasin",0.266037800000001,"Calibration"
6.811421,7.059559,0.0178889995318938,"train","local-PIDL",0.248138,"WindermereSouthBasin",-0.195004,"Calibration"
6.7848835,7.1377063,0.0253417493592922,"train","local-PIDL",0.352822799999999,"WindermereSouthBasin",0.0481066999999991,"Calibration"
7.2556086,7.620966,0.0245592423569411,"train","local-PIDL",0.3653574,"WindermereSouthBasin",-0.0178492000000006,"Calibration"
7.7102957,8.236839,0.0330180699031915,"train","local-PIDL",0.5265433,"WindermereSouthBasin",0.367108000000001,"Calibration"
8.059862,8.349407,0.0176452134053175,"train","local-PIDL",0.289544999999999,"WindermereSouthBasin",-0.00623400000000185,"Calibration"
8.154067,8.492587,0.0203356210458244,"train","local-PIDL",0.338520000000001,"WindermereSouthBasin",-0.103535699999998,"Calibration"
7.9504166,8.466355,0.0314275402220941,"train","local-PIDL",0.5159384,"WindermereSouthBasin",0.319054,"Calibration"
8.0777,8.30553,0.0139062897558836,"train","local-PIDL",0.227829999999999,"WindermereSouthBasin",0.208679999999999,"Calibration"
8.094804,8.177445,0.0050786833729031,"train","local-PIDL",0.0826410000000006,"WindermereSouthBasin",-0.0197369999999992,"Calibration"
8.577633,8.530006,-0.00278393146422308,"train","local-PIDL",0.0476270000000003,"WindermereSouthBasin",-0.331566,"Calibration"
9.149575,8.859651,-0.0160986720957304,"train","local-PIDL",0.289924000000001,"WindermereSouthBasin",-0.0504699999999989,"Calibration"
9.664171,9.537497,-0.00659706508381076,"train","local-PIDL",0.126674,"WindermereSouthBasin",-0.344035,"Calibration"
9.3041,9.390646,0.00462942605013492,"train","local-PIDL",0.0865460000000002,"WindermereSouthBasin",-0.0956869999999999,"Calibration"
9.219104,9.570534,0.01870339106025,"train","local-PIDL",0.351430000000001,"WindermereSouthBasin",0.0291139999999999,"Calibration"
9.210134,9.110586,-0.00543359582465304,"train","local-PIDL",0.0995480000000004,"WindermereSouthBasin",0.000173000000000201,"Calibration"
9.401925,9.690366,0.0151077053133316,"train","local-PIDL",0.288440999999999,"WindermereSouthBasin",0.125663999999999,"Calibration"
9.472366,10.008136,0.0275028569103893,"train","local-PIDL",0.535770000000001,"WindermereSouthBasin",-0.134608,"Calibration"
9.596075,9.965519,0.0188861855151016,"train","local-PIDL",0.369444,"WindermereSouthBasin",-0.307756999999999,"Calibration"
