"model","rmse","nse","r","bias","mae","nmae","phase","LakeID","exper"
"GLM",2.07164675089916,0.901420847138809,0.97010925411103,0.673956464112718,1.68206312221197,0.17075868841915,"cali","exper2_20","exper2"
"GLM",2.03525042136344,0.906447909435775,0.979150404570231,0.605174597324038,1.66863241947108,0.174928297953211,"vali","exper2_20","exper2"
"GLM",1.93751080778924,0.855891875394824,0.945514981633873,0.548271783161908,1.40993164672649,0.242572431585921,"cali","exper2_22","exper2"
"GLM",2.67805949683503,0.756798392619147,0.927599663316197,0.954470824656166,1.97077956174088,0.33759826537807,"vali","exper2_22","exper2"
"GLM",1.49515507537956,0.890208640705622,0.947806143423794,-0.314137837142149,1.15101742938835,0.0760848277069235,"cali","exper2_23","exper2"
"GLM",1.32715316378859,0.780082018119348,0.914323499195127,-0.296740455505175,0.929137929891929,0.0523747383509197,"vali","exper2_23","exper2"
"GLM",1.34819597025221,0.907715773072473,0.971525515265691,0.807037251894591,1.14616996733869,0.0573073632237967,"cali","exper2_25","exper2"
"GLM",2.19105749568636,0.895432293463298,0.97457975673861,1.45345776150561,1.74698696626253,0.13604286606153,"vali","exper2_25","exper2"
"GLM",0.90261701294661,0.967126534573357,0.984605091470739,-0.239684737473726,0.713960145264864,0.0496348681320482,"cali","exper2_27","exper2"
"GLM",1.38091008456165,0.922940890325828,0.977523130383488,-0.897097977724942,1.11581897735596,0.0674742569187305,"vali","exper2_27","exper2"
"GLM",0.929509252240954,0.94971664799298,0.98092553465584,0.234268926805066,0.713468367053616,0.0364399258117481,"cali","exper2_28","exper2"
"GLM",1.43167895502205,0.950959618978443,0.980807796542488,0.0962946713233607,1.07399847524075,0.0881084093998371,"vali","exper2_28","exper2"
"GLM",1.52308580784986,0.95144563375805,0.98659310559737,0.807487659728333,1.1455933332213,0.112614840290819,"cali","exper2_29","exper2"
"GLM",7.37972987921739,-0.0250707423236218,0.957621563308835,6.53443720987575,6.63886319862848,0.46477666428983,"vali","exper2_29","exper2"
"GLM",1.24546187810103,0.981498359170953,0.991657264838838,-0.236264467038013,0.915174103870585,0.156253930581469,"cali","exper2_30","exper2"
"GLM",1.51569231090032,0.965222578292119,0.984858970261751,-0.27560355580811,1.2186205033403,0.162200503656723,"vali","exper2_30","exper2"
"GLM",1.79579894595887,0.955276259405931,0.981507665720938,-0.233682481187677,1.40581227874472,0.173898642067128,"cali","exper2_31","exper2"
"GLM",1.93291525957059,0.940276009483827,0.977164767485028,-0.491507119129113,1.52140896424368,0.162803653498294,"vali","exper2_31","exper2"
"GLM",1.56794011472157,0.922766708001581,0.970477983278198,-0.0537628286731634,1.253398922889,0.0564911683438031,"cali","exper2_32","exper2"
"GLM",1.53836540532722,0.88246720021101,0.959329801397511,0.42346247007262,1.27541411957651,0.0534830805404237,"vali","exper2_32","exper2"
"GLM",1.77552329136926,0.953585650372284,0.987103234147879,0.245125681412147,1.42680940820019,0.235465059924357,"cali","exper2_34","exper2"
"GLM",1.65079467525803,0.961429814957224,0.988321750224274,-0.0558974163085551,1.30832678918045,0.176584798140126,"vali","exper2_34","exper2"
"GLM",1.75578168664945,0.958842171986286,0.987524492064286,-0.157606562842605,1.41976012479626,0.2340845386945,"cali","exper2_35","exper2"
"GLM",1.32180900918756,0.979558046372062,0.992241797166447,-0.127621609922294,1.04287151075326,0.187354345879807,"vali","exper2_35","exper2"
"GLM",1.82530555250516,0.953659775764547,0.983565735130551,-0.336884315437136,1.3717342519488,0.227952191231115,"cali","exper2_36","exper2"
"GLM",1.58430600200984,0.964331623691413,0.98789194897437,-0.484021730440715,1.23539088310277,0.186260314638609,"vali","exper2_36","exper2"
"GLM",1.55016428052757,0.947709916509874,0.974783793064902,0.313296634799005,1.23060235807309,0.150717168492755,"cali","exper2_37","exper2"
"GLM",1.59901144198373,0.927135731288403,0.964304466861593,0.153790980303634,1.24176299768239,0.155438901743334,"vali","exper2_37","exper2"
"GLM",1.29163039049697,0.956831635132358,0.99027165940356,-0.660146335010263,0.984527103469576,0.0830699816831577,"cali","exper2_38","exper2"
"GLM",1.23873281772472,0.939429449483637,0.989825527223626,-0.449555308783232,1.01026550976198,0.0679023943777783,"vali","exper2_38","exper2"
"GLM",0.793745830399068,0.971551677038773,0.985979097623423,0.0496091727403716,0.626051168067218,0.0371442378094783,"cali","exper2_39","exper2"
