"lake_id","test_rmse","Model","num"
"exper2_22",2.99542283892086,"ERA5-Land",21
"exper2_23",3.39536188039921,"ERA5-Land",22
"exper2_25",3.60761230886327,"ERA5-Land",23
"exper2_27",4.43856210752152,"ERA5-Land",24
"exper2_28",3.011317573389,"ERA5-Land",25
"exper2_29",3.81939938421595,"ERA5-Land",26
"exper2_30",3.30751359081294,"ERA5-Land",27
"exper2_31",3.15875216785735,"ERA5-Land",28
"exper2_32",2.54218435689441,"ERA5-Land",29
"exper2_34",4.31534395335822,"ERA5-Land",30
"exper2_35",3.88713780145071,"ERA5-Land",31
"exper2_36",3.49878872739428,"ERA5-Land",32
"exper2_37",1.23414352799074,"ERA5-Land",33
"exper2_38",4.33637846464416,"ERA5-Land",34
"exper2_39",2.42803931115433,"ERA5-Land",35
"exper2_40",3.07067648639098,"ERA5-Land",36
"exper2_41",2.5312528062898,"ERA5-Land",37
"exper2_42",2.0791479996763,"ERA5-Land",38
"exper2_43",1.83427660055154,"ERA5-Land",39
"exper2_44",1.81086103863266,"ERA5-Land",40
"exper2_45",2.27248742772841,"ERA5-Land",41
"exper2_46",4.00058099401178,"ERA5-Land",42
"exper2_47",2.46392061242269,"ERA5-Land",43
